epsilon,f1score,precision,recall
0.001,0.0,0,0.0
0.003,0.024691358024691357,1.0,0.0125
0.005,0.04878048780487805,1.0,0.025
0.006,0.06451612903225806,1.0,0.03333333333333333
0.007,0.07228915662650602,1.0,0.0375
0.008,0.08,1.0,0.041666666666666664
0.009,0.08764940239043825,1.0,0.04583333333333333
0.01,0.08764940239043825,1.0,0.04583333333333333
0.02,0.22878228782287824,1.0,0.12916666666666668
0.03,0.3448275862068966,1.0,0.20833333333333334
0.04,0.4364820846905538,1.0,0.2791666666666667
0.05,0.4810126582278481,1.0,0.31666666666666665
0.07,0.615819209039548,0.956140350877193,0.45416666666666666
0.09,0.7037037037037037,0.9637681159420289,0.5541666666666667
0.1,0.7368421052631579,0.9245283018867925,0.6125
0.3,0.5992414664981036,0.4301270417422868,0.9875
0.5,0.5042735042735043,0.3390804597701149,0.9833333333333333
0.7,0.2061498484192291,0.11503141614306428,0.9916666666666667
0.9,0.28469326980345444,0.16608756080611536,0.9958333333333333
1.0,0.32807137954701443,0.19638455217748563,0.9958333333333333
