epsilon,f1score,precision,recall
0.15,0.8237623762376237,0.7849056603773585,0.8666666666666667
0.01,0.08764940239043825,1.0,0.04583333333333333
0.02,0.22878228782287824,1.0,0.12916666666666668
0.04,0.4565916398713826,1.0,0.29583333333333334
0.06,0.5671641791044776,1.0,0.3958333333333333
0.08,0.6426592797783933,0.9586776859504132,0.48333333333333334
0.1,0.7220779220779221,0.9586206896551724,0.5791666666666667
0.2,0.7211538461538461,0.8522727272727273,0.625
0.3,0.3006993006993007,0.9347826086956522,0.17916666666666667
0.4,0.6513761467889908,0.5144927536231884,0.8875
0.5,0.6678571428571428,0.584375,0.7791666666666667
0.6,0.279819471308833,0.16552250190694126,0.9041666666666667
0.7,0.2876806607019959,0.17230008244023085,0.8708333333333333
0.8,0.3045977011494253,0.1840277777777778,0.8833333333333333
0.9,0.39801980198019804,0.261038961038961,0.8375
1.0,0.45828144458281445,0.3268206039076377,0.7666666666666667
