epsilon,f1score,precision,recall
0.1,0.6555555555555556,0.9833333333333333,0.49166666666666664
0.15,0.8177966101694916,0.8318965517241379,0.8041666666666667
0.2,0.7425373134328358,0.6722972972972973,0.8291666666666667
0.25,0.683969465648855,0.5397590361445783,0.9333333333333333
0.06,0.35051546391752575,1.0,0.2125
0.08,0.5046728971962616,1.0,0.3375
0.1,0.6555555555555556,0.9833333333333333,0.49166666666666664
0.2,0.7425373134328358,0.6722972972972973,0.8291666666666667
0.3,0.541860465116279,0.3758064516129032,0.9708333333333333
0.4,0.31011826544021026,0.18408736349453977,0.9833333333333333
0.5,0.30809399477806787,0.1826625386996904,0.9833333333333333
0.6,0.08862629246676514,0.04636785162287481,1.0
0.7,0.08747949699289229,0.045740423098913664,1.0
0.8,0.09108159392789374,0.04771371769383698,1.0
0.9,0.09054895302773061,0.04742145820983995,1.0
1.0,0.09046362608367886,0.0473746545598105,1.0
