epsilon,f1score,precision,recall
0.0005,0.06948640483383686,0.3026315789473684,0.03924914675767918
0.0007,0.08169440242057488,0.36,0.04607508532423208
0.0009,0.06542056074766354,0.375,0.03583617747440273
0.001,0.06646058732612056,0.3524590163934426,0.03668941979522184
0.002,0.07662835249042145,0.37593984962406013,0.042662116040955635
0.003,0.057358490566037736,0.24836601307189543,0.032423208191126277
0.004,0.06332046332046332,0.3333333333333333,0.03498293515358362
0.005,0.07881040892193308,0.3063583815028902,0.04522184300341297
0.006
0.007
0.008
0.009
0.01
0.02
0.03
0.04
0.05
0.06
0.07
0.08
0.09
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1.0
