round,f1score,precision,recall
1
2,0.15047021943573669,0.08135593220338982,1.0
3,0.1504564054139125,0.08137555328566565,0.9958333333333333
4,0.15017279296261388,0.08120965001698946,0.9958333333333333
5,0.1510859301227573,0.08171603677221655,1.0
6,0.14753086419753086,0.07966666666666666,0.9958333333333333
7,0.1487964989059081,0.08043257857384252,0.9916666666666667
8,0.15213946117274169,0.0823327615780446,1.0
9,0.15384615384615385,0.08336239972096268,0.9958333333333333
10,0.15155358275206088,0.08201784488675361,0.9958333333333333
11,0.15069356872635561,0.08151432469304229,0.9958333333333333
12,0.15122873345935728,0.081799591002045,1.0
13,0.15069356872635561,0.08151432469304229,0.9958333333333333
14,0.15179422038742457,0.08215881746304572,0.9958333333333333
15,0.149439601494396,0.08075370121130551,1.0
16,0.14928169893816365,0.08068872383524646,0.9958333333333333
17,0.14766759345072597,0.07974641307974642,0.9958333333333333
18,0.15252621544327932,0.0825593395252838,1.0
19,0.1513616212792907,0.08190541466758053,0.9958333333333333
20,0.14893617021276595,0.08051420838971583,0.9916666666666667
