epsilon,report_prob,report_thresh_R,sampling_prob,f1_score
0.2,0.03691671588895452,1,1.0,0.43029259896729777
0.2,0.044300059066745424,1,1.0,0.3974151857835218
0.2,0.051683402244536325,1,1.0,0.4123422159887798
0.2,0.05906674542232723,1,1.0,0.42191780821917807
0.2,0.06645008860011814,1,1.0,0.44733420026007803
0.2,0.07383343177790903,1,1.0,0.4365361803084223
0.2,0.08121677495569994,1,1.0,0.4205714285714286
0.2,0.08860011813349085,1,1.0,0.38413361169102295
0.2,0.09598346131128174,1,1.0,0.4032753326509724
0.2,0.10336680448907265,1,1.0,0.39105058365758755
0.2,0.11075014766686356,1,1.0,0.389413988657845
0.2,0.11813349084465447,1,1.0,0.37739288969917956
0.2,0.12551683402244537,1,1.0,0.35142118863049093
0.2,0.13290017720023628,1,1.0,0.37061769616026713
0.2,0.14028352037802716,1,1.0,0.3553054662379421
0.2,0.14766686355581807,1,1.0,0.3409629044988161
0.2,0.15505020673360898,1,1.0,0.3346183500385505
0.2,0.16243354991139988,1,1.0,0.3260553129548763
0.2,0.1698168930891908,1,1.0,0.3328402366863905
0.2,0.1772002362669817,1,1.0,0.3242074927953891
0.2,0.1845835794447726,1,1.0,0.3227176220806794
