epsilon,report_prob,report_thresh_R,sampling_prob,f1_score
0.2,1,1,0.02,0.3738140417457306
0.2,1,1,0.02,0.39096267190569745
0.2,1,1,0.02,0.3758020164986251
0.2,1,1,0.02,0.38953488372093026
0.2,1,1,0.02,0.366412213740458
0.2,1,1,0.02,0.36065573770491804
0.2,1,1,0.02,0.36553030303030304
0.2,1,1,0.02,0.3837784371909001
0.2,1,1,0.02,0.3648269410664172
0.2,1,1,0.02,0.37256719184430026
0.2,1,1,0.02,0.35282651072124754
0.2,1,1,0.020833333333333332,0.37488284910965325
0.2,1,1,0.030303030303030304,0.32616753150481836
0.2,1,1,0.04,0.3001293661060802
0.2,1,1,0.05263157894736842,0.2661469933184855
0.2,1,1,0.07692307692307693,0.22067686601761707
0.2,1,1,0.1,0.1999163529903806
0.2,1,1,0.3333333333333333,0.1381294964028777
0.2,1,1,1.0,0.13237727523441808
0.2,1,1,1.0,0.13237727523441808
