epsilon,report_prob,report_thresh_R,sampling_prob,f1_score
0.2,1,1,0.01098901098901099,0.22269807280513917
0.2,1,1,0.01098901098901099,0.22304439746300211
0.2,1,1,0.01098901098901099,0.22128998426848454
0.2,1,1,0.01098901098901099,0.2339862361037586
0.2,1,1,0.01098901098901099,0.22645502645502646
0.2,1,1,0.01098901098901099,0.22429906542056074
0.2,1,1,0.01098901098901099,0.22818086225026288
0.2,1,1,0.01098901098901099,0.22410147991543342
0.2,1,1,0.01098901098901099,0.21952506596306068
0.2,1,1,0.01098901098901099,0.21833161688980432
0.2,1,1,0.01098901098901099,0.23023872679045093
0.2,1,1,0.01098901098901099,0.21759500260281103
0.2,1,1,0.01098901098901099,0.22377622377622378
0.2,1,1,0.01098901098901099,0.2285413375460769
0.2,1,1,0.01098901098901099,0.2361863488624052
0.2,1,1,0.01098901098901099,0.22385706778770362
0.2,1,1,0.011111111111111112,0.22440537745604963
0.2,1,1,0.015625,0.19243986254295534
0.2,1,1,0.021739130434782608,0.16512455516014235
0.2,1,1,0.05263157894736842,0.1080835603996367
