round,f1score,precision,recall
1
2,0.39838854073410923,0.26346950858496154,0.8165137614678899
3,0.39893143365983974,0.26337448559670784,0.8220183486238533
4,0.41622103386809267,0.27486756915832844,0.8568807339449541
5,0.40183066361556063,0.2676829268292683,0.8055045871559633
6,0.40346873573710634,0.26852976913730253,0.8110091743119267
7,0.3902654867256637,0.2571428571428571,0.8091743119266055
8,0.3915343915343915,0.2576900754497969,0.8146788990825689
9,0.39709223080417994,0.2638888888888889,0.8018348623853211
10,0.394491337183474,0.26025791324736225,0.8146788990825689
11,0.4113156713066906,0.272294887039239,0.8403669724770643
12,0.38615179760319573,0.2546838407494145,0.7981651376146789
13,0.39174352217830477,0.2575057736720554,0.818348623853211
14,0.39820627802690584,0.26350148367952525,0.8146788990825689
15,0.4014178112538768,0.26460280373831774,0.8311926605504587
16,0.40587449933244324,0.2679200940070505,0.8366972477064221
17,0.3922942206654991,0.2576193214491087,0.8220183486238533
18,0.4066726780883679,0.269575612671847,0.8275229357798165
19,0.3471670876939733,0.21608265947888589,0.8825688073394495
20,0.3217527386541471,0.1939622641509434,0.9431192660550459
