round,f1score,precision,recall
1
2,0.4055496264674493,0.27259684361549497,0.7916666666666666
3,0.41294642857142855,0.2820121951219512,0.7708333333333334
4,0.4214046822742475,0.2876712328767123,0.7875
5,0.3953732912723449,0.26441631504922647,0.7833333333333333
6,0.4080338266384778,0.273371104815864,0.8041666666666667
7,0.4296962879640045,0.2942989214175655,0.7958333333333333
8,0.4167561761546724,0.28075253256150506,0.8083333333333333
9,0.37590861889927313,0.2503457814661134,0.7541666666666667
10,0.4201312910284464,0.28486646884273,0.8
11,0.4004282655246253,0.26945244956772335,0.7791666666666667
12,0.4021505376344086,0.2710144927536232,0.7791666666666667
13,0.4012806830309498,0.2697274031563845,0.7833333333333333
14,0.40130151843817785,0.27126099706744866,0.7708333333333334
15,0.41182466870540263,0.2726045883940621,0.8416666666666667
16,0.36205395996518713,0.22882288228822883,0.8666666666666667
17,0.3297022512708787,0.1996481970096746,0.9458333333333333
18,0.29508196721311475,0.1738484398216939,0.975
19,0.2347090999502735,0.13325804630152457,0.9833333333333333
20,0.20444824636441403,0.11391801715919923,0.9958333333333333
