sampling_probability,f1score,precision,recall
0.001,0.14671814671814673,1.0,0.07916666666666666
0.005,0.2733812949640288,1.0,0.15833333333333333
0.007,0.36054421768707484,0.9814814814814815,0.22083333333333333
0.01,0.3561643835616438,1.0,0.21666666666666667
0.03,0.5671641791044776,1.0,0.3958333333333333
0.05,0.625,0.9821428571428571,0.4583333333333333
0.07,0.659217877094972,1.0,0.49166666666666664
0.08,0.651685393258427,1.0,0.48333333333333334
0.09,0.6829268292682927,0.9767441860465116,0.525
0.1,0.7021276595744681,0.9705882352941176,0.55
0.2,0.704,0.9777777777777777,0.55
0.25,0.7324675324675325,0.9724137931034482,0.5875
0.3,0.7403598971722365,0.9664429530201343,0.6
0.4,0.7468030690537084,0.9668874172185431,0.6083333333333333
0.5,0.7373737373737373,0.9358974358974359,0.6083333333333333
0.6,0.7537688442211056,0.9493670886075949,0.625
0.7,0.7487179487179487,0.9733333333333334,0.6083333333333333
0.75,0.7575757575757576,0.9615384615384616,0.625
0.8,0.7519181585677749,0.9735099337748344,0.6125
0.9,0.7468030690537084,0.9668874172185431,0.6083333333333333
1.0,0.7411167512690355,0.948051948051948,0.6083333333333333

epsilon = 0.1, global_thresh = 50 (99th perc), report_thresh = 11
