sampling_probability,f1score,precision,recall
0.001,0.4,0.5,0.3333333333333333
0.005,0.625,0.5,0.8333333333333334
0.007,0.5555555555555556,0.4166666666666667,0.8333333333333334
0.01,0.5111111111111111,0.3484848484848485,0.9583333333333334
0.03,0.38095238095238093,0.23529411764705882,1.0
0.05,0.3356643356643357,0.20168067226890757,1.0
0.06,0.32,0.19047619047619047,1.0
0.07,0.3137254901960784,0.18604651162790697,1.0
0.08,0.3137254901960784,0.18604651162790697,1.0
0.09,0.3057324840764331,0.18045112781954886,1.0
0.1,0.2874251497005988,0.16783216783216784,1.0
0.2,0.2823529411764706,0.1643835616438356,1.0
0.25,0.2981366459627329,0.17518248175182483,1.0
0.3,0.3,0.17647058823529413,1.0
0.4,0.2891566265060241,0.16901408450704225,1.0
0.5,0.2874251497005988,0.16783216783216784,1.0
0.6,0.2891566265060241,0.16901408450704225,1.0
0.7,0.2823529411764706,0.1643835616438356,1.0
0.75,0.2962962962962963,0.17391304347826086,1.0
0.8,0.3076923076923077,0.18181818181818182,1.0
0.9,0.3,0.17647058823529413,1.0
1.0,0.2926829268292683,0.17142857142857143,1.0

epsilon = 0.2, pcap = eval100k, global_thresh = 247 (99.9th perc), report_thresh = 1/eps
