sampling_probability,f1score,precision,recall
0.001
0.005
0.007
0.01
0.03
0.05
0.07
0.08
0.09
0.1
0.2
0.25
0.3
0.4
0.5
0.6
0.7
0.75
0.8
0.9
1.0
